condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),24.0,1.2734474975995245,1.8579458533904127,-1.2897843635000277,0.010734565246628053,0.8545281273309928,1.9443723580533543,5.7278612641842805,0.3792516092105295
Decrease by 1,24.0,1.0884164323852425,1.8779487613088013,-1.3244095177500124,-0.2739958365726163,0.7887914316427325,1.784014789034934,5.232457500277714,0.3833346856915236
Decrease by 2,24.0,1.53368481687375,1.7795701567366253,-2.31909134073584,0.5043224592114675,1.5099925011865534,2.780406721365969,5.736549226275406,0.3632532371241181
Decrease by 3,24.0,1.936113354641747,2.0675302381438647,-1.7565388769788202,0.684510168636501,1.530772003045473,2.84762523027222,8.154269462295735,0.4220328426022882
Increase by 1,24.0,1.3204721936716945,1.66555191280105,-1.6261764566284462,0.5636794770643316,0.9870598169596964,2.2698163310866306,4.43553464968674,0.33997936053992284
Increase by 2,24.0,1.097294602063697,1.6028176235358662,-1.4150808543751028,-0.017023338560627,0.846443688422742,1.7247294899955787,4.69753324207216,0.3271737773669345
Increase by 3,24.0,1.393391588570837,1.6637232682629366,-1.0735953347693934,0.3154161696165265,1.3168644557943427,2.4043841927596326,5.268649700092578,0.33960609003664743
