subject,set,included,epoch_count,exclusion_reason
02,1 to 2,True,6,
02,1 to 3,True,8,
03,1 to 2,True,7,
03,1 to 3,True,6,
04,1 to 2,True,4,
04,1 to 3,True,6,
05,1 to 2,True,6,
05,1 to 3,True,5,
08,1 to 2,True,6,
08,1 to 3,True,3,
09,1 to 2,True,6,
09,1 to 3,True,3,
10,1 to 2,True,6,
10,1 to 3,True,6,
11,1 to 2,True,3,
11,1 to 3,True,6,
12,1 to 2,True,4,
12,1 to 3,True,4,
13,1 to 2,True,5,
13,1 to 3,True,7,
14,1 to 2,True,6,
14,1 to 3,True,6,
15,1 to 2,True,4,
15,1 to 3,True,6,
17,1 to 2,True,5,
17,1 to 3,True,5,
21,1 to 2,True,5,
21,1 to 3,True,6,
22,1 to 2,True,2,
22,1 to 3,True,7,
23,1 to 2,True,4,
23,1 to 3,True,5,
25,1 to 2,True,7,
25,1 to 3,True,5,
26,1 to 2,True,8,
26,1 to 3,True,5,
27,1 to 2,True,6,
27,1 to 3,True,8,
28,1 to 2,True,5,
28,1 to 3,True,7,
29,1 to 2,True,6,
29,1 to 3,True,7,
31,1 to 2,True,7,
31,1 to 3,True,6,
32,1 to 2,True,6,
32,1 to 3,True,5,
33,1 to 2,True,6,
33,1 to 3,True,4,
